Time to generate a test,Time to run a test
1.688,43.206
2.1189999999999998,32.571000000000005
2.749,35.655
0.26899999999999996,33.239
4.874,37.57
39.624,70.461
0.309,31.246
0.5,31.015
2.895,58.219
0.8720000000000001,32.173
3.9899999999999998,34.442
0.482,31.675
0.901,43.352000000000004
0.708,31.528
14.112,64.307
6.738,36.124
0.7240000000000001,31.385
41.089,69.797
4.235,34.936
0.395,29.869
0.303,32.058
25.226,55.946999999999996
3.801,35.169
0.35100000000000003,31.097
12.74,85.589
40.693,73.836
0.451,32.512
15.918999999999999,79.114
2.2880000000000003,32.874
0.33599999999999997,29.631
25.72,59.297999999999995
0.23900000000000002,29.743
0.962,36.7
3.3449999999999998,36.23500000000001
3.128,33.842999999999996
19.761,53.995000000000005
0.311,34.037
20.375,54.872
0.294,30.813
21.002,57.185
2.936,2063.6890000000003
0.31,247.946
2.834,211.62300000000002
1.174,76.896
3.5260000000000002,36.217
5.412,39.765
0.372,33.108
3.246,35.482
0.569,36.811
0.419,31.506
0.449,30.622
7.938000000000001,40.775999999999996
0.252,29.329
25.4,1952.694
18.967000000000002,53.175
4.305,40.032
0.231,47.431
0.47800000000000004,33.120999999999995
1.847,31.296999999999997
0.277,30.894000000000002
0.612,34.321
2.828,33.416000000000004
0.855,31.417
21.558999999999997,51.561
0.283,31.011
26.259,88.927
0.426,30.656
5.941,40.22
5.011,37.676
1.7149999999999999,69.90599999999999
25.648,60.206999999999994
0.241,32.609
1.4,39.239999999999995
5.2940000000000005,38.421
5.725,41.300999999999995
0.333,30.991
3.1380000000000003,34.313
0.23399999999999999,29.256999999999998
0.512,29.988999999999997
6.068,40.391000000000005
21.823,52.776
0.376,33.736000000000004
0.49799999999999994,31.806
0.309,31.654
0.425,30.612000000000002
0.359,30.741999999999997
5.076,35.995
0.376,31.72
0.39,32.549
3.0260000000000002,35.156
0.24600000000000002,36.355
0.261,29.866
0.988,29.564
0.662,32.510999999999996
1.691,34.715
3.907,40.623
0.258,30.439999999999998
0.784,34.058
0.378,29.194000000000003
1.217,34.224
0.887,33.83
6.633,43.794
0.467,39.585
7.029,43.705
7.908,43.924
0.34900000000000003,33.346000000000004
10.819,43.8
8.286,41.324
88.785,164.54399999999998
18.415,58.765
6.675999999999999,1943.368
2.6879999999999997,76.22800000000001
0.507,34.341
0.27399999999999997,32.650999999999996
0.297,31.510999999999996
0.236,30.467000000000002
0.359,34.206
0.41300000000000003,29.011
0.9959999999999999,30.392
0.9790000000000001,29.839000000000002
0.431,31.515
0.88,50.528000000000006
0.437,30.628
2.057,35.322
0.27799999999999997,29.287
0.41100000000000003,32.061
0.755,30.52
3.297,35.256
0.216,30.178
0.44,29.169
4.886,43.73500000000001
0.893,30.880000000000003
3.8019999999999996,34.53
37.438,68.97200000000001
0.273,37.127
0.392,30.573
5.679,35.839000000000006
4.834,37.714999999999996
2.3739999999999997,35.068000000000005
0.517,30.89
0.27999999999999997,32.82
0.292,50.355
0.259,29.528
0.261,32.315999999999995
0.434,32.007
12.911999999999999,81.96499999999999
0.419,32.625
0.41,32.969
4.957999999999999,35.598
0.342,30.215
2.81,36.835
0.3,35.282000000000004
0.237,34.305
0.44499999999999995,33.328
2.633,34.885
4.303000000000001,38.462
0.41300000000000003,29.652
0.366,31.334
0.389,36.757999999999996
0.6679999999999999,29.24
0.438,30.541999999999998
0.7290000000000001,31.523000000000003
5.821,37.513999999999996
0.272,30.948
0.33599999999999997,32.22
0.287,33.975
0.624,34.788
0.337,34.382999999999996
10.685,46.15
0.27599999999999997,33.071999999999996
0.388,33.618
0.433,32.819
0.47300000000000003,33.14
0.753,33.005
0.49,32.528
0.513,33.080999999999996
0.296,32.675000000000004
0.679,31.870999999999995
0.442,29.936999999999998
0.9959999999999999,31.614000000000004
9.027000000000001,79.67699999999999
0.34900000000000003,39.729
1.74,35.925
0.448,42.492000000000004
0.364,31.996999999999996
0.382,29.979
0.359,33.092000000000006
0.24000000000000002,34.511
0.263,30.791
4.365,37.152
2.594,85.96
25.87,84.73899999999999
0.287,32.253
0.423,42.626999999999995
0.347,31.690999999999995
4.117,33.993
6.159999999999999,37.383
1.1720000000000002,53.676
0.33399999999999996,32.772000000000006
0.41100000000000003,35.194
2.7729999999999997,37.597
5.064,37.267
26.548,56.969
0.359,35.138000000000005
0.305,30.085
5.787999999999999,37.147
24.785,55.305
29.752000000000002,89.117
0.40900000000000003,34.576
1.436,59.436
0.55,32.823
0.438,32.0
0.355,32.119
0.347,32.525999999999996
25.228,58.022
0.277,30.901999999999997
3.476,89.491
0.33599999999999997,38.498
0.782,30.237
0.264,30.703
5.1339999999999995,37.039
25.041999999999998,57.092
1.553,35.565
4.682,33.525
5.5840000000000005,35.973
1.663,65.15700000000001
2.2430000000000003,80.152
5.2,38.812
3.469,36.893
3.0,79.28399999999999
0.518,34.028000000000006
0.313,31.404
2.318,80.95700000000001
0.5640000000000001,33.624
0.32699999999999996,36.735
4.683,38.192
7.714,45.045
25.902,56.794
21.558999999999997,52.625
0.707,34.566
3.574,33.258
6.672,38.586000000000006
0.33599999999999997,32.249
6.04,36.309
0.421,1980.731
0.5,51.062000000000005
0.32699999999999996,232.078
3.496,135.547
0.43,44.223
61.115,105.551
0.29300000000000004,30.735
7.964,38.857
2.836,34.631
0.339,31.881
5.046,35.381
0.404,33.099999999999994
0.31,33.294
0.25,30.901999999999997
5.35,35.107
0.621,35.598
0.364,36.099
0.345,36.604
0.825,33.550999999999995
0.378,36.059
0.342,33.135
