Time to generate a test,Time to run a test
1.623,62.675
3.421,43.791
5.569,48.817
0.614,37.736
0.34,42.033
0.513,40.092999999999996
6.7330000000000005,46.232
3.2039999999999997,59.336
11.048,51.693999999999996
0.8140000000000001,63.65
5.297,54.315000000000005
0.34600000000000003,59.918
1.648,57.914
0.378,42.364
7.66,76.732
0.462,59.005
1.91,40.932
0.5910000000000001,49.440999999999995
0.897,46.217
0.342,44.276999999999994
0.509,96.857
19.093,68.513
6.866,53.577
32.785000000000004,75.459
0.51,42.026
5.3340000000000005,47.159
0.767,40.333
2.675,49.745
1.03,42.935
7.215,50.926
6.797,44.662
0.446,53.178999999999995
30.549,72.38
2.9160000000000004,42.598
0.5289999999999999,41.816
26.862000000000002,82.319
0.46900000000000003,45.223
6.253,48.178
0.464,42.939
0.42700000000000005,45.97
6.231000000000001,47.238
28.829,73.533
0.356,43.928000000000004
29.508,69.813
3.453,59.907000000000004
0.5509999999999999,47.086999999999996
8.852,52.619
0.443,39.597
0.902,1841.691
5.804,51.065
0.32,49.903000000000006
0.45,53.41
1.689,41.292
0.408,39.559
5.078,41.633
5.084,46.022
2.065,50.534000000000006
0.777,47.983
0.34,46.985
6.537,49.855
10.024999999999999,51.593
5.606,45.685
3.022,40.227
0.39599999999999996,38.423
6.567,44.202
52.526999999999994,91.793
0.9380000000000001,37.769
0.321,54.909
5.196,52.606
0.838,44.916
0.432,41.550999999999995
0.46900000000000003,37.164
2.4099999999999997,41.87
0.8140000000000001,39.909
0.313,38.627
10.852,49.595
0.289,40.742
10.487,54.379999999999995
0.304,40.824
0.495,44.723
1.3780000000000001,54.059999999999995
0.355,41.368
0.311,38.913000000000004
0.283,37.519999999999996
0.42700000000000005,41.891999999999996
1.4929999999999999,45.927
0.432,40.394
0.31,43.437000000000005
7.673,52.669000000000004
0.9420000000000001,44.739000000000004
4.0600000000000005,47.432
13.853000000000002,61.512
7.176,50.736999999999995
26.656,71.601
0.5559999999999999,51.623000000000005
0.372,47.241
7.889,49.973
0.5820000000000001,44.278
0.41,40.411
0.46299999999999997,39.806000000000004
0.4,43.152
1.165,2122.573
0.583,49.455
0.486,58.088
15.392,92.131
0.41,37.638
1.563,43.708
1.664,67.05
0.559,38.097
5.129,49.83
0.326,43.492999999999995
4.9319999999999995,47.68
0.451,36.742999999999995
7.337,43.713
1.032,43.151
0.379,42.395
0.412,41.906
0.335,41.935
2.552,90.423
114.53399999999999,157.096
0.412,43.329
5.278,51.151
0.7,45.73
3.7,84.84800000000001
7.0920000000000005,46.377
1.103,41.745999999999995
0.321,43.665
0.48899999999999993,38.274
0.372,38.976
0.398,36.884
0.41100000000000003,42.118
0.339,39.371
3.456,44.363
1.185,78.997
23.522000000000002,64.285
3.48,45.138
7.854,50.867999999999995
0.449,44.919000000000004
0.408,41.690999999999995
122.92500000000001,189.24099999999999
0.606,45.169000000000004
0.5199999999999999,51.418
1.2550000000000001,60.25
10.093,53.558
0.517,44.653999999999996
0.305,41.986999999999995
0.456,40.122
113.914,156.17000000000002
0.888,37.388999999999996
0.419,44.922
0.6,39.544000000000004
1.2650000000000001,42.443000000000005
0.841,40.415
0.876,39.673
0.488,41.596000000000004
0.8809999999999999,37.013
0.504,38.538000000000004
1.039,42.954
0.388,42.554
6.799,51.837
4.5440000000000005,43.346999999999994
0.484,38.692
1.9989999999999999,54.987
0.398,40.012
0.368,39.863
0.442,42.136
0.987,38.753
32.035000000000004,69.562
0.46900000000000003,37.739000000000004
4.054,42.327
0.458,37.986
7.727,47.479
0.34900000000000003,41.506
31.786,69.757
0.546,41.349
11.252,61.062
0.44499999999999995,40.971000000000004
1.019,37.888999999999996
3.5260000000000002,77.706
7.893000000000001,55.839
7.64,47.385
0.456,41.725
0.444,39.379999999999995
0.49200000000000005,40.611000000000004
0.35100000000000003,47.072
0.305,41.945
0.358,42.888000000000005
0.9560000000000001,40.409
1.006,39.586000000000006
1.317,40.58
4.159000000000001,48.042
7.5760000000000005,53.073
4.486000000000001,43.092
1.926,45.561
6.437,51.333999999999996
0.48000000000000004,41.134
0.29500000000000004,41.189
0.46299999999999997,46.119
0.7699999999999999,50.102000000000004
1.296,38.451
0.47,42.498
0.491,36.763
0.462,48.266000000000005
0.546,37.424
1.277,36.831
4.939,46.258
0.821,38.529
1.1340000000000001,41.633
0.491,42.679
0.352,41.729
6.7669999999999995,48.61300000000001
0.33599999999999997,37.662
0.523,43.596999999999994
28.933,68.669
0.488,41.732
0.5730000000000001,39.059999999999995
47.443,2126.4599999999996
1.55,70.27
0.533,41.312000000000005
1.118,57.266999999999996
4.339,55.304
0.433,45.29
0.7829999999999999,38.798
5.112,42.784000000000006
4.352,44.285
6.793,45.539
0.496,41.119
26.785,69.977
0.345,40.57899999999999
1.074,40.525999999999996
4.284,45.474000000000004
4.403,1744.0439999999999
0.49200000000000005,173.53099999999998
6.436,498.183
3.999,318.103
1.618,76.142
46.172,85.794
0.301,39.369
0.464,39.895
24.547,64.228
3.347,41.448
0.519,41.435
29.772,101.61399999999999
0.496,71.629
0.506,54.517999999999994
7.117,64.07400000000001
5.7010000000000005,51.907000000000004
0.67,48.154
7.233,44.82
7.024,53.352
0.384,48.879
1.406,39.907
0.5,39.986000000000004
1.716,39.394999999999996
1.22,38.268
1.439,39.535000000000004
0.495,38.773
0.412,40.974999999999994
0.35,39.851
0.599,38.478
2.822,79.18
0.356,38.619
0.734,41.748
0.309,56.253
0.391,38.687
0.49799999999999994,37.549
2.242,52.837
0.638,39.279
0.5670000000000001,45.38699999999999
0.7,37.531
1.1440000000000001,44.408
0.5199999999999999,39.663
0.925,38.143
1.142,1960.7939999999999
0.322,303.259
1.239,44.123000000000005
1.2249999999999999,345.169
1.659,44.272
0.506,252.08999999999997
5.019,70.368
0.393,39.408
0.5469999999999999,36.854
8.463,44.540000000000006
0.5,36.884
0.42000000000000004,42.135
0.87,42.528999999999996
0.472,38.666
0.36200000000000004,36.817
0.571,39.689
0.8400000000000001,39.038000000000004
7.71,45.86
0.366,38.46
0.703,36.387
0.503,36.967
1.338,38.138999999999996
4.808,43.352000000000004
0.448,36.61
0.9470000000000001,35.574
0.736,41.046
0.393,40.313
0.8099999999999999,43.326
0.44499999999999995,36.699000000000005
0.294,35.933
0.924,39.142
0.871,37.727
0.879,38.737
1.325,37.108000000000004
6.836,46.336000000000006
0.40099999999999997,38.225
8.26,75.461
1.057,39.300000000000004
3.9189999999999996,43.345
0.449,41.652
0.437,38.793
6.502,45.055
51.246,92.252
0.285,38.136
0.537,45.047
28.351000000000003,74.13
1.8860000000000001,45.117
0.322,42.102000000000004
9.978000000000002,50.948
0.34,65.438
0.321,40.525999999999996
51.951,92.106
32.537000000000006,74.318
0.46799999999999997,43.507
0.45199999999999996,41.984
0.537,39.379
0.541,41.946999999999996
3.758,40.89
1.1,40.141000000000005
0.5730000000000001,38.241
0.578,44.87
3.91,42.410000000000004
0.632,38.855000000000004
2.864,39.701
0.415,39.528
0.361,37.994
3.816,42.663
0.308,41.729
3.64,44.801
6.741,48.113
52.528,500.22200000000004
3.434,212.681
4.0600000000000005,338.327
6.61,180.823
3.513,282.523
51.853,219.817
6.4799999999999995,44.768
0.392,36.418
3.6870000000000003,61.795
6.842,167.02900000000002
6.482,255.114
0.34299999999999997,162.826
0.5479999999999999,368.382
56.378,1776.618
0.442,445.803
2.836,151.731
0.6679999999999999,46.212
0.40499999999999997,1148.3799999999999
0.32699999999999996,295.345
0.46799999999999997,584.61
0.332,47.754999999999995
0.29100000000000004,58.208000000000006
8.997,57.454
51.41,90.474
6.4079999999999995,45.992
0.496,42.436
0.281,39.567
0.509,41.368
0.33,42.234
6.455,44.937
27.049,69.253
6.517,47.025
